3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
3201: adivinanzas | ¿por que las mujeres no pueden hacer hielo?porque no se saben la receta 
2215: feministas | ¿que hacen 1000 hombres ahogandose en medio del mar?un bien para la humanidad 
3683: jaimito | ¿jaimito, ¿cuantos habitantes hay en la tierra?1000 habitantes. no, mucho mas 100000 habitantes. la maestra le responde: no, muchisimo mas, di una burrada.  
1774: doctores | segunda opiniondoctor a paciente: tu estas muy enfermo paciente: ¿puedo tener una segunda opinion doctor: si, tu eres muy feo tambien  
8015: vendedores | va un tipo vendiendo arepas, y dice:¡arepas y arepitas, arepas y arepitas! y un tipo al verlo le dice: oiga, ¿cuanto valen las arepas?    y le contesta el vendedor: cien pesos.  entonces, el hombre le pregunta: ¿y las arepitas?  y le contesta:  cien pesitos 
6357: papa_papa | papa, papa, ¿cual es la definicion de hostilidad?¡una pregunta mas, y te saco los dientes a trompadas, enano pregunton 
3181: adivinanzas | ¿que se corta en la mesa y no se come?la baraja.  
6414: pepito | la maestra le pregunta a juanito:a ver juanito, dime en que tiempo esta esta oracion: me estoy casando. a lo que juanito responde: maestra, en tiempo presente. muy bien juanito. dime pepito, en que tiempo esta esta oracion: estoy buscando novio. a lo que pepito responde: maestra, es tiempo perdido 
1809: doctores | doctor al paciente:señor, creo que sufre de gallismo es decir, usted cree que es un gallo. ¿y kikiriquiaga 
6319: animales | mama, mama, no me gusta este zumo de tomate.calla y tomatelo antes que coagule.  
3177: adivinanzas | ¿que le dijo la crema al azucar?nos vemos en el cafe 
2766: adivinanzas | ¿por que santa claus se cayo de la chimenea?por pendejo 
2207: farmacias | manolo entra a la farmacia.¿si? ¿que desea? mi nenito se enfermo y necesito unas vitaminas. ¿pero que vitaminas? ¿como? ¡no le entiendo! ¿que vitaminas?, a, b, c, d, ¿cual? ¡ah, no!, eso no importa pues, hombre. mi peque todavia no sabe leer 
2260: feministas | ¿por que se casan las mujeres? por falta de experiencia. ¿por que se divorcian? por falta de paciencia. ¿por que se vuelven a casar? por falta de memoria.  
7630: telefonos | el señor de la casa llama por telefono y contesta la empleada:¿ha llamado algun imbecil, maria? no, usted es el primero, señor.  
7848: una_linea | no es lo mismo un chico bizco que un bizcochico.</div><div class=opciones> <span class=chisteid>#113258</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=113258' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
7465: suegras | iban dos tipos hablando un dia y le dice uno a otro:vieras que ayer iba yo caminando con mi suegra por el parque. en eso, aparecieron dos tipos y se le fueron encima a ella. la golpeaban como animales. el otro pregunto: ¿y vos que hiciste? pues me aparte, ¿que mas iba a hacer? ¿y por que no te metiste? ah, no, ya era un abuso pegarle entre tres 
5620: otros | un dia estaba una señora de 85 años bordando, y se le acercan dos de sus nietas; una de 6 años y la otra de 4 años y le preguntan:abuelita, ¿como se hacen los niños? y la abuelita, sorprendida de la pregunta de sus nietas muy nerviosa, les responde: no, resulta que cuando ustedes son grandes y quieran tener hijos, simplemente le envian una carta a la cigueña en paris y ella se demora 9 meses en traerles el niño. y las 2 nietas con sonrisas, se miran y se comentan entre ellas: ¿sera que la dejamos morir inocente 
3262: adivinanzas | ¿que le dice una oreja a la otra?corre la cabeza que no te veo 
2851: adivinanzas | tengo 100 focos prendidos, ¿cuantos estan apagados?98. ¿por que? porque solo prendi-dos 
4018: machistas | error 50254 de windows: no se han detectado errores.</div><div class=opciones> <span class=chisteid>#64470</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=64470' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1438: computacion | un adicto a internet lo es, cuando cumple una de estas 14 caracteristicas: 14. sus amigos no lo llaman por telefono, se contactan via irc, chat. 13. ha olvidado en que año estamos. 12. ya ha visitado todos los enlaces de yahoo!, y va por la mitad de los de lycos y excite. 11. le dice al conductor del taxi que vive en: http://av.santafe.3996/piso15/depto118.html 10. su perro tiene su propia pagina web, y peor esta si hasta su esposa tiene una. 9. uno se encuentra a si mismo tipeando com despues de cada punto cuando esta utilizando un procesador de texto.com 8. hace referencia a ir al baño con voy a hacer un download. 7. su esposa le coloca una peluca al monitor para recordarle que existe. 6. sus lentes tienen la imagen de una web grabada en los anteojos. 5. su factura de telefonos viene en una caja. 4. cuando se refiere a su edad dice 3.algo. 3. bautizo a sus hijos magellan, excite y lycos. 2. y a sus hijas altavista y eudora. 1. le pregunta al plomero cuanto le cobraria para reemplazar la silla que esta frente a la computadora por un inodoro 
5392: otros | emitologias mexicanas astronomia: perro de los supersonicos que no puede hacer pipi.  anomalo: hemorroides.  antilopes: pro-gutierrez.  asfaltado: expresion que dicen las maestras al niño que no va a diario a la escuela. atiborrarte: daparecerte.  bandeja: expresion que les gritan a las mujeres arabes cuando manejan.  benceno: lo que los bebes hacen con los ojos cuando toman leche.  bermudas: observar a las que no hablan.  cacareo: excremento del preso.  cachivache: pequeño hoyo en el pavimento que esta a punto de convertirse en bache.  cavernicola: pequeño excusado al que no le cabe casi nada.  chinchilla: auchenchia de un lugar para chentarche.  consolidandose: situacion en la que esta una pareja de recien casados en la playa.  decapito: super hombre.  depara: lo que dicen las tarjetitas que les ponen a los regalos.  dilemas: hablale mas.  diogenes: la embarazo.  diputadas: habla como mariquita.  emana: la ota ija de mi ama y mi apa.  embarnecer: ponerse como barney.  endoscopio: me preparo para todos los examenes excepto para dos.  fehaciente: antonimo de bonita no siente.  indigestion: tramite que solicita un indio.  indonesia: se aplica a aquellas vendedoras de verduras que no entienden razones.  iraqui: expresion de los nacos para que voltees a ver.  manifiesta: reventon de cacahuates.  matutino: hijo del oficial matute.  mensula: tontula, babosula, estupidula.  meollo: me-escucho.  ministerio: pequeño aparato estereofonico.  nitrato: apatia por hacer algo.  nuevamente: cerebro sin usar.  nogales: que descobijas, ciudad antagonica de gales.  ondeando: ontoy.  polinesia: mujer policia que no entiende razones.  talento: no' ta' rapido.  telepatia: aparato de tv para la hermana de mi mama.  tuberculo: expresion de los apaches cuando alguien los veia desnudos.  tunica: única nica de tu propiedad 
5761: otros | ¿como se rien las empanadas?¡aji, aji, aji, aji, aji!  
8095: aviones | estaban volando en un avion comercial, un cura, un cantante, un hippie y un politico. de repente el avion comienza a caer en picada, la azafata les indica que solo existen 3 paracaidas para los pasajeros. entonces deciden quien se quedara en el avion:el politico dice: yo saltare, sin mi el pueblo quedaria como invalido, sin nadie quien lo dirija. entonces toma el paracaidas y salta. el cantante dice: yo tengo que saltar, el mundo necesita mi musica, la alegria de mis letras. entonces salta. cuando de repente el cura ve otros dos paracaidas le dice al hippie:  ¡milagro! ¡milagro, quedan dos paracaidas! el hippie le responde: no padre, es que uno salto con mi mochila.  
7333: atlantes | ¿por que los atlantes no manejan cuando llueve?porque el limpia parabrisa dice no 
3940: machistas | no existe mujer fea, lo que falta es trago.</div><div class=opciones> <span class=chisteid>#29759</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=29759' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
8139: bares | este es un mendigo que va a un bar y le dice al camarero: ponme un vino rapido que hay una pelea pues, asi hasta llegar a una caja y le dice el camarero: ¿donde esta la pelea? y le dice el borracho: la pelea va ha empezar ahora porque no te voy a pagar.</div><div class=opciones> <span class=chisteid>#278528</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=278528' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5427: otros | ¿en que se convierte un cafe despues de la carcel?en un cafe expreso 
2847: adivinanzas | llega una mujer corriendo y pregunta, ¿cual es el mar mas malo?el mar ido 
2113: exageraciones | un codicioso estaba hablando con dios y le pregunta:dios, ¿cuanto es para ti un segundo? y dios le contesta: mil años. ¿y un centavo? mil pesos. luego el codicioso le responde: entonces, regalame un centavo. ¡esperame un segundo!  
2140: exageraciones | era un hombre tan feo, tan feo, tan feo, que cuando nacio el medico le dijo a su madre:tranquila, hemos hecho lo posible para que no saliera.  era un tio tan gordo, tan gordo, que para hacerse una foto carnet, lo cogieron con una vista aerea.  era una mujer tan gorda, tan gorda, que cuando se ponia un bikini blanco y negro green peace la salvaba de los pescadores.    
807: chistes_cortos | fue un divorcio amistoso y dividimos la casa en partes iguales. mi esposa se quedo con lo de adentro y yo con lo de afuera. </div><div class=opciones> <span class=chisteid>#15553</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=15553' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
4135: mama_papa | mami, mami ¿puedo mecer a mi abuelito?¡no hijo, no, hasta que sepamos quien lo ahorco 
3991: machistas | ¿que le dijo un tomate a un tomate enfermo.toma te 
118: borrachos | iba un borracho por la carretera conduciendo a 195 km/h cuando le para la policia y le retira el carnet de conducir por 3 meses. al cabo de dos dias, el borracho se salta las normas y vuelve a conducir sin permiso a una velocidad de 200 km/h, le vuelve a parar la policia, le pide los papeles , el borracho le pasa los documnetos del automovil y el policia ve que le falta el carnet de conducir: ¡oye, tu! ¿donde esta el carnet de conducir? y el borracho responde: ¡que? ¿ya lo habeis perdido 
3343: adivinanzas | ¿sabes por que hacen los semaforos tan altos?para que no se los salte ni dios 
2932: adivinanzas | ¿como se dice camion de basura en portugues?carro du mierd 
169: borrachos | va un borracho manejando y choca contra un arbol. a los 3 minutos aparece un policia y le pregunta:¿señor, se encuentra bien?  el borracho contesta: si, yo estoy bien, pero fijese como esta el que me choco. el policia le pregunta: ¿quien lo choco? el borracho contesta: aquel, el que manejaba el arbol 
5316: novios | un hombre ejecutivo destinado temporalmente en paris por negocios, recibe una carta de su novia desde chilela carta decia lo siguiente: querido alejandro: ya no puedo continuar con esta relacion. la distancia que nos separa es demasiado grande. tengo que admitir que te he sido infiel diez veces desde que te fuiste y creo que ni tu ni yo nos merecemos esto, lo siento. por favor devuelveme la foto que te envie. con amor. maria el hombre, muy herido, le pidio a todos sus compañeros de trabajo que le regalaran fotos de sus novias, hermanas, amigas, tias, primas,etc. junto con la foto de maria, incluyo todas esas otras fotos que habia recolectado de sus amigos. habia 57 fotos en el sobre y una nota que decia: maria, perdoname, pero no puedo recordar quien eres. por favor, busca tu foto en el paquete y devuelveme el resto.  
2473: habia_una_vez | era una vez un hombre tan, pero tan optimista, que cuando le dio un infarto dijo que era una corazonada. 
6213: animales | ¿por que el perro cruzo la calle?porque la gallina se fue de vacaciones 
3705: ladrones | un dia, pepe le pregunto a su padre:papa, ¿donde esta la tarjeta visa? pues mira hijo, me la han robado. pero papa, si ya hace cinco meses, y no lo has denunciado. pues mira hijo, he estado sacando cuentas y me conviene mas que la tenga el ladron a que la tenga tu madre 
1467: computacion | recomendaciones para aprovechar el tiempo mientras espera conectarse a internet: tomar un algodon y un frasco de alcohol y limpiar el teclado y la pantalla que hace tanto tiempo que no limpia y ya que de seguro le sobrara tiempo podria aprovechar y ordenar los cajones, barrer el cuarto, hacer la cama y catalogar todos sus programas alfabeticamente. leer un libro, busque algo interesante y a la vez asegurese de que sea lo suficientemente largo, ya que si lo termina y aun no se pudo conectar se sentira frustrado, le recomendamos que lea don quijote, intentar hacer una recapitulacion de los errores del windows 98, sabemos que lograra comunicarse antes de terminar, pero claro puede continuar la proxima vez que intente comunicarse. aprender a jugar ajedrez. enseñarle a su perro a hablar, tome una siesta, escriba la historia de su vida, arme un rompecabezas de 3000 piezas. si es religioso rece y si no lo es y ya probo con todas las otras opciones, rece tambien, total no tiene nada mejor para hacer.    
7824: una_linea | ¿cual es el santo de los gatos?san silvestre 
6714: profesores | una maestra le dijo al estudiante:¿por que no contestaste ni una pregunta si estaban tan faciles? y el estudiante responde: pero las respuestas no 
4962: navidad | ¿que le regalo batman a su mama para navidad?una batidora.  
5996: animales | un dia en la selva se encontraba un lorito arriba de un arbol y cantando repetia:¡yo soy el rey de la selva! y despues de varios minutos lo escucho el leon, este, muy enojado se lanzo sobre el lorito y con sus garras lo golpeo, tirandolo y dejandolo muy mal herido en pleno suelo. por ahi pasaron unos ecologistas que lo levantaron y para curarlo lo metieron en una jaula. el lorito desperto y al verse tras las rejas exclamo: ¡que paliza le habre dado al leon que me pusieron tras las rejas 
1621: crueles | solo para enfermos pobres: se vende, al mayor, lote de medicinas vencidas. </div><div class=opciones> <span class=chisteid>#2425</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=2425' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
7598: tacaños | le pregunta el papa a su hijo:oigame hijo, ¿por que viene tan sudado?  para ahorrarme unos pesos, me vine corriendo detras del autobus. hombre hijo, no sea bruto, vengase corriendo detras de un taxi, y asi se ahorra mas 
659: chistes_cortos | dicen que habia una fiesta de 0`s y entonces entra un 101 y dice:aqui vengo con dos flacas 
6580: policias | ¿tu sabes como abre una lata un policia? se acerca la lata a la boca y grita: ¡policia, abra!  
1638: dentistas | va un camionero al dentista todo asustado. doctor, me duele la muela.  a ver, abra la boca.  no, que tengo mucho miedo. mire, ¿sabe que haremos?, le doy esta botella de whisky, usted echa algun trago, y vera como se le pasa el miedo.  al rato, el camionero ya ha dejado la botella totalmente vacia. ¡que! ¿se siente mas valiente ahora?  si, pero a ver quien es el guapo que me toca ahora la muela.  
5233: niños | papa, ¡engañe al chofer del bus!y el padre muy emocionado, por saber le dice: ¿como? pues con los $100 que me diste a guardar, se los di y me fui a correr 
2993: adivinanzas | ¿por que tiene rejas el cementerio?porque todos se mueren por entrar 
6904: atlantes | erase una vez un atlante que va con su rey y le dice:estoy harto que todo el mundo nos critique que somos bien tontos, eso se tiene que resolver. y el rey le dice: bueno pues, te vamos a hacer una prueba para demostrar que no son tan tontos como creen.  entonces el atlante le dice: ¿que te parece si me haces una pregunta en un estadio lleno de puros atlantes, y ante los ojos de todo el mundo demostrar que no somos unos bobos? llego el dia de la pregunta en un estadio repleto de puros atlantes. cuando el estadio estaba lleno y el mundo entero le estaba poniendo atencion, le hicieron la primera pregunta: ¿podeis decirme cuanto es 3 x 8? y el atlante responde: ¡claro, pero es bien facil 30! ¡no!, grito el locutor. y todo el estado grito al unisono: ¡otra oportunidad! ¡otra oportunidad! le dio otra oportunidad y le vuelve hacer una pregunta: ¿cuanto es 15 + 40? pues 45 hombre mas facil no podia ser. y el locutor dice: ¡no! inmediatamente grita el estadio: ¡otra oportunidad! ¡otra oportunidad! ¡otra oportunidad! bueno, bueno, dijo el locutor, ¿que te parece una resta? y el atlante le contesta: ¡echemela que esta si me sale! ¿cuanto es 15 - 6? y el atlante contesta: pues 9. y el estadio grita: ¡otra oportunidad! ¡otra oportunidad! ¡otra oportunidad 
6649: profesiones | un filosofo decide tomar un bote para cruzar un rio y continuar sus estudios en una isla. le paga dos chelines a un barquista quien emprende viaje. el filosofo entabla una conversacion con el barquista:filosofo: disculpe buen hombre, ¿sabe usted historia? barquista: (con desagrado responde) no filosofo: ... entonces usted ha perdido la mitad de su vida, ¿sabe usted matematicas? barquista: no filosofo:... entonces usted ha perdido mas de la mitad de su vida en segundos nada mas un fuerte viento sopla y una tormenta sorprende a ambos, el bote se voltea cayendo el filosofo y el barquista al agua entonces... barquista: ¡sabe usted nadar! filosofo: ¡no! barquista:  entonces usted acaba de perder toda su vida!  moraleja: une la practica con la teoria.   
4025: machistas | ¿cual es el lapiz que no vale nada?el lapicero 
3657: jaimito | estaba jaimito en la escuela, y la maestra comienza a preguntar en que han venido. la profesora pregunta:pepito, ¿en que has venido? en un bmw. juanito, ¿en que has venido? en un ferrari. ¿y tu jaimito? en un dodge. ¿en un dodge? si señorita, en dodge patitas.. 
1646: deportes | ciclista temerario éste era un niño que va en su bicicleta y le dice a su madre: -¡mama!, ¡mama sin manos!-, soltando el timon. -¡mama!, !mama sin piernas!-, separando los pies de los pedales. en eso se cae de cara, se levanta y dice: -¡mama!, ¡mama sin dientes! 
5831: otros | un famoso conferencista comentaba:no me importa que la gente mire el reloj mientras hablo, lo que me  saca de juicio es que se lo lleven al oido para saber si anda, y lo sacudan 
2554: habia_una_vez | habia una vez un barco que se varo y todos se bajaron a empujar.</div><div class=opciones> <span class=chisteid>#1324</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=1324' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1496: computacion | ¿que le dice un zorro a otro zorro?visual fox pro 
1579: crueles | era un hombre tan feo, tan feo, tan feo, que cuando iba al zoologico, los monos le tiraban cacahuates. 
4076: machistas | no cometas errores cometa halley.  
989: colmos | ¿cual es el colmo de una tonta?que se mire al espejo y diga, yo te conozco 
7175: atlantes | resulta que un hombre le pregunta a otro:oye que te parece que me esten mandando anonimos. y le pregunta el amigo: si y no sabes quien es.    
6498: pepito | estaba pepito en el patio de un parque, en eso ve pasar a juanito por ahi y le dice: juanito ven a ver lo que estoy haciendo, y juanito va y le pregunta:¿que es lo que estas haciendo? y pepito responde: le estoy escribiendo una carta a ines. pero si tu todavia no sabes escribir. y pepito le responde: no le hace, al cabo que ines tampoco sabe leer 
7800: una_linea | todo es perfecto.firma: todo 
5638: otros | esto es el niño mas perro, mas mala leche  del mundo que entra a la barberia con la cabeza agachada y le dice al barbero:- afeitame el barbero contesta: - pero chiquillo levanta la cabeza ... y le contesta el niño:  entonces rapame !!!  
4993: niños | la maestra les dice a los alumnos:niños, sientense en silencio. y silencio murio aplastado.  
1172: colmos | ¿cual es el colmo de un electricista?que se electrocute con una pila de mierda 
5105: niños | habia una familia muy numerosa de 10 hijos y uno de ellos se llamaba agustin entonces, un dia iba agustin con su amigo saul y le decia todo aburrido:que te parece saul que tengo 9 hermanos, y al unico que mi papa molesta es a mi, todo lo que el quiere que le hagan todo tengo que ser yo y solamente yo. entonces saul le dice: vea hermano, cuando su papa lo llame usted le dice que agustin no esta y ya vera usted que va a mandar a otro de sus hermanos. mas tarde se va agustin para la casa y su papa empieza a llamarlo entonces le contesta agustin que agustin no esta y el papa le contesta: entonces, venga usted 
5890: animales | resulta que a un famoso guitarrista le propusieron ofrecer un concierto en algun pais de áfrica, y este acepto. a tiempo tomo el avion y cuando sobrevolaba la selva este se estrello en medio de la selva, solo sobrevivieron el guitarrista y su guitarra. al rato, se le acerco un leon con cara de hambriento y luego otro y otro. en ese momento se acordo de que habia leido que la musica calmaba a los animales, y muy nervioso se puso a tocar una cancion. los leones se calmaron y acostaron a su alrededor, y el musico se tranquilizo pensando que se habia salvado de morir, cuando de repente, de entre los arboles salio un leon furioso y se comio al guitarrista, y uno de los primeros leones le dijo a otro:¿ves? ¡te dije que el sordo, nos iba arruinar el concierto 
4940: mujeres | una mujer entra en una lenceria.buenas, ¿me podria probar ese sosten rojo en la vidriera? claro que puede, pero, ¿no seria mejor que se lo probase en el probador?  
3480: hombres | hombre, he soñado que ganaba 200 millones como mi padre. ¿tu padre gana 200 millones?  no, tambien lo sueña.  
1992: actos | primer acto: dora lavandosegundo acto: dora sigue lavando tercer acto: dora todavia sigue lavando ¿como se llama la obra? la lavador 
635: chistes_cortos | mi mama es una arrastrada.firma: la anaconda 
176: borrachos | decia un borrachito a otro: hip! cuanto mas tomo aguardiente mas bonito me pongo, compadre! hip! y es que entre mas beba, mas bonito soy.   ¿y como sabe ud. eso compadre? bueno, porque cuando llego borracho a la casa mi mujer me ve y me dice : ¡¡que bonito, muy bonito que te ves!!!!!!</div><div class=opciones> <span class=chisteid>#311</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=311' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
1914: doctores | habia un medico tan lento, tan lento que tenia que afeitar dos veces al paciente durante una cirugia.</div><div class=opciones> <span class=chisteid>#728</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=728' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
6055: animales | un señor quiere pasar por una cueva llena de leones muertos de hambre.¿como pasarias? ¡por encima, estan muertos 
1686: doctores | en un examen de necropsia, el profesor le pregunta al alumno:¿cual ha sido la causa de la muerte de ese individuo? el alumno se pone a examinar el cuerpo y ve un cadaver con numerosas puñaladas en el torax. el alumno responde: ha muerto de muerte natural. el profesor le dice: ¡como que de muerte natural! ¿usted no ha visto las puñaladas? el alumno le responde: hombre, es que con esas puñaladas lo natural, es que se muera.  
2539: habia_una_vez | habia una vez un tipo tan tacaño, que se tomo una foto del cuello para abajo para que no le saliera cara.</div><div class=opciones> <span class=chisteid>#2330</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=2330' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
6196: animales | la mama gata le dice a sus hijitos:niños, hoy vamos a visitar la cocina y tomaremos un trozo de queso. pero tengan cuidado, porque hay un perro muy peligroso. poco mas tarde, estaban la mama y sus gatitos en la cocina comiendo queso, cuando aparecio el perro. la gata viendo que ella y sus hijos estaban en peligro se puso a ladrar lo que hizo que el perro saliera corriendo y le dice a sus hijos: yo les dije, es muy bueno aprender dos idiomas.  
3834: locos | alo, alo, ¿con el manicomio?no, aqui no hay telefono 
5150: niños | era una mujer gorda que esta en un parque paseando a su perro, se le acerca un niño y le dice:¿muerde? la mujer responde:  no. entonces, el niño le vuelve a preguntar: ¿y el perro?  
8038: viejitos | un viejito va al oculista, y le dan unos anteojos, y dice el viejito al oculista:¿esta seguro que con estos anteojos voy a poder leer bien? y le dice el oculista: ¡si! a lo que el viejito responde: ¡que bueno, porque yo no se leer 
4898: mujeres | ésta es una mujer que sabiendo las tacañerias de su marido le dice casi suplicandole:mi amor, ¿cuando me vas a comprar un vestido de noche? el esposo con la intencion minima de gastar ni un centavo, le dice: ¡cuantas veces te voy a decir que las tiendas no estan abiertas de noche 
37: borrachos | resulta que un borrachito regresaba a su casa despues de estar hasta altas horas de la mañana, y se topa con un policia en el camino, y le pregunta:disculpe que lo moleste, pero me puede decir, ¿cuantos golpes tengo en la frente? el policia responde: ya tienes tres golpes. y le borrachito dice: entonces, me faltan dos postes para llegar a mi casa 
487: chistes_cortos | un pelon en un estadio de futbol dice: son 6 arbitros en la cancha, 22 jugadores en la cancha, 4522 espectadores, y esta maldita paloma me viene a cagar a mi.</div><div class=opciones> <span class=chisteid>#201172</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=201172' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
611: chistes_cortos | ¿como se dice disparo en árabe?ay-bala-bala 
6746: atlantes | llega un atlante a una cantina con un perico en el hombro, y el cantinero le pregunta:¿el animal habla? y el perico contesta: ¡no se 
877: chistes_cortos | ¿que hace un muerto parado en una esquina?jugando de vivo 
5022: niños | un sobrino, le pregunta a su tia:¿donde esta el pajarito, tia? yo no tengo mascotas, pepito. ¡pues papa me dijo que ibamos a ver a la cotorra de la tia 
6887: atlantes | ¿por que los atlantes siempre llevan escaleras a la playa? para que suba la marea 
132: borrachos | llega un borracho a un bar y dice balbuceando:-¡felices fiestas!¡feliz navidad y prospero año nuevo!- uno de los parroquianos le frena y le dice: -pero, hombre...¡si estamos en pleno mayo!- -¿en mayo? mi mujer me mata...¡nunca habia llegado tan tarde 
5708: otros | un diente era muy amigo de otro diente, siempre paseaban juntos, hasta que un diente se caso con otro diente y, ¿que paso con el otro diente?  ¡se pico 
3798: locos | una vez, un loco estaba pintando una pared, en eso pasa uno y le grita:oye tu, agarrate bien de la brocha, porque me voy a llevar la escalera.  
2630: adivinanzas | ¿por que el mar hecha espuma? porque la sirenita se llama arie 
5960: animales | estaban 3 ratones en una cantina y uno empieza a presumir:yo cuando veo una ratonera, la activo y la levanto 20 veces. otro no se queda atras y dice: yo cuando encuentro veneno para ratas lo pongo en mi cafe para fortalecerme. por ultimo uno se para y dice: lo siento pero tengo una cita con una gata 
5849: otros | ¿cual es el santo mas sucio?el sancho. ¿cual es el santo que mas canta? sandro.  
2278: feministas | ¿saben cuando los hombres pierden el 90% de su inteligencia?cuando se le muere la mujer. ¿y cuando pierde el otro 10%? cuando se le muere la mascota.  
7894: una_linea | ¿como se dice cerrar en aleman?tranquen 
1347: abogados | el abogado de divorcios a uno de sus clientes:-referente a su caso, tengo una noticia buena y otra mala. ¿cual quiere oir primero? -pues... la buena. -su esposa no va a pedir que se repartan las herencias que usted reciba tras el divorcio. -ah, bien... ¿y cual es la mala noticia? -se va a casar con su padre.  
6372: papa_papa | ¡mama, mama! ¿las paltas tienen ojos?no, por que pedrito? porque entonces, me comi la rana 
1756: doctores | doctor, ¿se pueden tener hijos despues de los 40?personalmente, señora, yo creo que con cuarenta ya hay bastante 
463: chistes_cortos | ¡mama! ¡mama! en el colegio me dicen fin de semana. ¿por que domingo 
1040: colmos | ¿cual es el colmo de la mala suerte? comprar todos los boletos y que suspendan el sorteo.  
6561: policias | en cierta ocasion estaba un policia en su motocicleta, listo para corretear a cualquiera que quisiera violar los limites de velocidad. en ese instante pasa una mancha roja a toda velocidad, el agente de seguridad se prepara para ejecutar la persecucion, acelera la motocicleta y esta por alcanzar el vehiculo, cuando este entra a un callejon sin salida, y se estrella con una pared. el policia se baja de su moto y se dispone a hacer la inspeccion. a ver, no tiene placas de identificacion, ni siquiera parabrisas, ni vidrios, no tiene bolsas de aire, y no logro ubicar el volante de direccion, bueno muchacho y tu, ¿de donde sacaste este vehiculo? el muchacho adolorido le responde: ¡de, de, de la montaña rusa!  
6449: pepito | un dia una profesora daba clase de gramatica, y dice:quiero que mañana me traigan una oracion con la palabra estatua,  ¿entendieron? y dicen los niños: ¡si, maestra! al dia siguiente la profesora dice: a ver, maria, ¿que oracion hizo de tarea? fui a estados unidos y vi la estatua de la libertad. ¡muy bien! dice la profesora.  y tu juanito, ¿cual es tu oracion? mi papa compro una estatua bien bonita.  ¡muy bien! vuelve a repetir la profesora. ¿y tu, pepito? fui a mi casa y le pegue a mi abuelita. y la maestra dice: y, ¿donde esta la palabra estatua? fui a la casa, y le peque a mi abuelita, y estatua golpeada 
6266: animales | ¿cual es el animal que se parece mas a un elefante?un elefantito 
